nome_evento,edicao,abrangencia,tamanho,segmento,acesso_evento,mes_evento,data_inicio,data_fim,local,cidade,uf,promotor,telefone,site_feira
OESTE RURAL SHOW - Exposição Agropecuária de Pontes e Lacerda,6ª edição,Regional,acima de 10.000,"Agropecuário, Comercial e Industrial",Aberto ao público,maio,maio de 2026,maio de 2026,Parque de Exposições de Pontes e Lacerda,Pontes e Lacerda,MT,Sindicato Rural de Pontes e Lacerda,65 3266-3725,http://www.instagram.com/oesteruralshow/
Festa das Nações (Serra Negra),,Regional,de 5.000 a 10.000,Feiras Multisetoriais,Aberto ao público,maio,maio de 2026,maio de 2026,Av. Deputado Campos Vergal,Serra Negra,SP,Prefeitura de Serra Negra,19 3892-9700,http://www.instagram.com/prefeituraserranegra/
Expo Iguatemi (ExpoIguatemi),3ª edição,Municipal,de 5.000 a 10.000,"Agropecuário, Comercial e Industrial",Aberto ao público,maio,maio de 2026,maio de 2026,Estádio Municipal,Iguatemi,MS,Prefeitura de Iguatemi,67 3471-1417,http://www.instagram.com/prefeituraiguatemi/
Nikkei Fest 2026,15ª edição,Regional,de 5.000 a 10.000,Feiras Multisetoriais,Aberto ao público mediante ingresso,maio,maio de 2026,maio de 2026,Clube de Campo da ACAE,Presidente Prudente,SP,"Associação Cultural, Agrícola e Esportiva (ACAE)",18 3223-2267,http://nikkeifest.com.br
"EXPORRISO 2026 - Exposição Agropecuária, Industrial e Comercial",,Regional,acima de 10.000,"Agropecuário, Comercial e Industrial",Aberto ao público,maio,maio de 2026,maio de 2026,Parque de Exposições (CTG Sorriso),Sorriso,MT,Prefeitura de Sorriso,66 3545-4700,http://www.instagram.com/exporriso_oficial/
RIO PARDO EXPOSHOW 2026 (RioPardoExposhow),19ª edição,Regional,acima de 10.000,"Agropecuário, Comercial e Industrial",Aberto ao público mediante ingresso,maio,maio de 2026,maio de 2026,Parque de Exposições,São José do Rio Pardo,SP,Rio Pardo Exposhow,19 3608-4545,http://www.rpes.com.br
"EXPOAGRO DOURADOS - Exposição Agropecuária, Industrial, Comercial e Cultural de Dourados",60ª edição,Regional,acima de 10.000,"Agropecuário, Comercial e Industrial",Aberto ao público,maio,maio de 2026,maio de 2026,Parque de Exposições João Humberto Andrade de Carvalho,Dourados,MS,Sindicato Rural de Dourados,67 3424-6686,http://www.instagram.com/expoagrodouradosoficial/
"EXPOINGÁ - Exposição Agropecuária, Industrial e Comercial",52ª edição,Regional,acima de 10.000,"Agropecuário, Comercial e Industrial",Aberto ao público,maio,maio de 2026,maio de 2026,Parque Internacional de Exposições Francisco Feio Ribeiro,Maringá,PR,Sociedade Rural de Maringá (SRM),44 3261-1723,http://expoinga.com.br
Pronegócio (Maio),74ª edição,Nacional,de 1.000 a 5.000,Setores Têxtil e Têxtil Confeccionista,Aberto ao público,maio,maio de 2026,maio de 2026,Centro de Eventos Maria Celina Vidotto Imhof (Pavilhão da Fenarreco),Brusque,SC,Associação das Micro e Pequenas Empresas de Brusque e Região (AMPE),47 3351-3811,http://www.instagram.com/ampebrusque/
AGROTINS 2026 - Feira Agrotecnológica do Tocantins,26ª edição,Regional,acima de 10.000,"Agropecuário, Comercial e Industrial",Aberto ao público,maio,maio de 2026,maio de 2026,Centro Agrotecnológico de Palmas,Palmas,TO,"Secretaria da Agricultura, Pecuária e Abastecimento (SEAGRO-TO)",63 3218-2136,http://agrotins.to.gov.br
